MatrixID	OrganismID	PrimaryParam	A	Ea	R	x_in_celsius	updated_at
beef	ec	Initial Value	9.413676531379383e-56	-270847.7840967133	8.314462618	1.0	2026-03-04T22:11:26
beef	ec	Lag	3.3646733507298015e-12	-67492.55576264046	8.314462618	1.0	2026-03-04T22:11:26
beef	ec	Maximum Rate	14375070099717.877	75780.20267814591	8.314462618	1.0	2026-03-04T22:11:26
beef	ec	Final Value	10.000000000000009	6.84945406777789e-14	8.314462618	1.0	2026-03-04T22:11:26
beef	ss	Initial Value	4.0517674308839758e-25	-90335.2835907203	8.314462618	1.0	2026-03-04T22:13:59
beef	ss	Lag	2.918409387745664e-05	-27998.830489482032	8.314462618	1.0	2026-03-04T22:13:59
beef	ss	Maximum Rate	8212862887043.903	74158.68422316335	8.314462618	1.0	2026-03-04T22:13:59
beef	ss	Final Value	10.000000000000009	2.7210472486551293e-14	8.314462618	1.0	2026-03-04T22:13:59
beef	lm	Initial Value	1e-10	36917.24701820991	8.314462618	1.0	2026-03-04T22:17:41
beef	lm	Lag	1e-19	-27000.0	8.314462618	1.0	2026-03-04T22:17:41
beef	lm	Maximum Rate	5798112.672859185	40000.0	8.314462618	1.0	2026-03-04T22:17:41
beef	lm	Final Value	6.581138830084179	-1331.2785872052004	8.314462618	1.0	2026-03-04T22:17:41
beef	ta	Initial Value	1e-10	40000.0	8.314462618	1.0	2026-03-04T22:31:29
beef	ta	Lag	1e-11	-67000.0	8.314462618	1.0	2026-03-04T22:31:29
beef	ta	Maximum Rate	8212860000000.0	75780.0	8.314462618	1.0	2026-03-04T22:31:29
beef	ta	Final Value	9.999999999999975	-5.531483645730427e-12	8.314462618	1.0	2026-03-04T22:31:29
pork	ta	Initial Value	1.1360979997575258e-35	-146869.69387970312	8.314462618	1.0	2026-03-04T22:31:50
pork	ta	Lag	2.695194131407657e-29	-161059.2749715907	8.314462618	1.0	2026-03-04T22:31:50
pork	ta	Maximum Rate	30763892109942.68	78182.27137528612	8.314462618	1.0	2026-03-04T22:31:50
pork	ta	Final Value	10.000000000000124	2.8041082819301448e-11	8.314462618	1.0	2026-03-04T22:31:50
pork	ss	Initial Value	1.4066844692927355e+253	1459878.3572914083	8.314462618	1.0	2026-03-04T22:35:19
pork	ss	Lag	2.69519e-29	-161059.0	8.314462618	1.0	2026-03-04T22:35:19
pork	ss	Maximum Rate	30763900000000.0	79182.3	8.314462618	1.0	2026-03-04T22:35:19
pork	ss	Final Value	10.000000000000176	4.238400915628385e-11	8.314462618	1.0	2026-03-04T22:35:19
pork	lm	Initial Value	1.0000000000000016e-05	26817.0193209086	8.314462618	1.0	2026-03-04T22:38:44
pork	lm	Lag	2.0	-6112.067677004393	8.314462618	1.0	2026-03-04T22:38:44
pork	lm	Maximum Rate	10000.0	26538.1	8.314462618	1.0	2026-03-04T22:38:44
pork	lm	Final Value	3.162277660168379	-2681.70193209086	8.314462618	1.0	2026-03-04T22:38:44
pork	ec	Initial Value	9.413676531379383e-56	-270847.7840967133	8.314462618	1.0	2026-03-04T22:38:53
pork	ec	Lag	3.3646733507298015e-12	-67492.55576264046	8.314462618	1.0	2026-03-04T22:38:53
pork	ec	Maximum Rate	14375070099717.877	75780.20267814591	8.314462618	1.0	2026-03-04T22:38:53
pork	ec	Final Value	10.000000000000009	6.84945406777789e-14	8.314462618	1.0	2026-03-04T22:38:53
poultry	lm	Initial Value	0.0001480232271382	20320.1132630228	8.314462618	1.0	2026-03-04T22:42:49
poultry	lm	Lag	4.539935897308148	-3486.285838312093	8.314462618	1.0	2026-03-04T22:42:49
poultry	lm	Maximum Rate	5000000.0	41467.8	8.314462618	1.0	2026-03-04T22:42:49
poultry	lm	Final Value	3.162277660168378	-2652.9847955701657	8.314462618	1.0	2026-03-04T22:42:49
poultry	ta	Initial Value	1.0000000000000016e-05	26529.84795570165	8.314462618	1.0	2026-03-04T22:44:50
poultry	ta	Lag	4.749637082887718	-3590.3396475674786	8.314462618	1.0	2026-03-04T22:44:50
poultry	ta	Maximum Rate	15962.8427	28262.4	8.314462618	1.0	2026-03-04T22:44:50
poultry	ta	Final Value	3.162277660168379	-2652.9847955701653	8.314462618	1.0	2026-03-04T22:44:50
seafood	ta	Initial Value	1e-05	30000.0	8.314462618	1.0	2026-03-04T22:50:18
seafood	ta	Lag	4.74964	-3590.34	8.314462618	1.0	2026-03-04T22:50:18
seafood	ta	Maximum Rate	20000.0	28262.4	8.314462618	1.0	2026-03-04T22:50:18
seafood	ta	Final Value	3.16228	-2652.98	8.314462618	1.0	2026-03-04T22:50:18
seafood	ss	Initial Value	4.0517674308839758e-25	-90335.2835907203	8.314462618	1.0	2026-03-04T22:50:27
seafood	ss	Lag	2.918409387745664e-05	-27998.830489482032	8.314462618	1.0	2026-03-04T22:50:27
seafood	ss	Maximum Rate	8212862887043.903	74158.68422316335	8.314462618	1.0	2026-03-04T22:50:27
seafood	ss	Final Value	10.000000000000009	2.7210472486551293e-14	8.314462618	1.0	2026-03-04T22:50:27
seafood	lm	Initial Value	0.001	29074.6250545628	8.314462618	1.0	2026-03-04T22:52:05
seafood	lm	Lag	4.235072830412364	-3486.0	8.314462618	1.0	2026-03-04T22:52:05
seafood	lm	Maximum Rate	5000000.0	42000.0	8.314462618	1.0	2026-03-04T22:52:05
seafood	lm	Final Value	4.871708245126298	-2004.0971649379692	8.314462618	1.0	2026-03-04T22:52:05
